EL1 in a plain VM (no EL2)	CurrentEL	S3_0_C4_C2_2	read	native	NATIVE         value=0x0000000000000004
EL1 in a plain VM (no EL2)	MIDR_EL1	S3_0_C0_C0_0	read	native	NATIVE         value=0x00000000610f0000
EL1 in a plain VM (no EL2)	ID_AA64PFR0_EL1	S3_0_C0_C4_0	read	native	NATIVE         value=0x1101000010110011
EL1 in a plain VM (no EL2)	ID_AA64PFR1_EL1	S3_0_C0_C4_1	read	native	NATIVE         value=0x0000000202000001
EL1 in a plain VM (no EL2)	ID_AA64MMFR1_EL1	S3_0_C0_C7_1	read	native	NATIVE         value=0x0000100011312000
EL1 in a plain VM (no EL2)	ID_AA64ISAR1_EL1	S3_0_C0_C6_1	read	native	NATIVE         value=0x0010221110211502
EL1 in a plain VM (no EL2)	SCTLR_EL1	S3_0_C1_C0_0	read	native	NATIVE         value=0x0000000030d00980
EL1 in a plain VM (no EL2)	UDF (.long 0)		exec	guest-exception	GUEST-EXC@EL1  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL1 in a plain VM (no EL2)	SVC #0		exec	guest-exception	GUEST-EXC@EL1  ESR=0x56000000 EC=0x15 SVC64
EL1 in a plain VM (no EL2)	HVC #0		exec	trap-to-vmm	EXIT->VMM      ESR=0x5a000000 EC=0x16 HVC64
EL1 in a plain VM (no EL2)	SMC #0		exec	trap-to-vmm	EXIT->VMM      ESR=0x5e000000 EC=0x17 SMC64
EL1 in a plain VM (no EL2)	BRK #0		exec	guest-exception	GUEST-EXC@EL1  ESR=0xf2000000 EC=0x3c BRK
EL1 in a plain VM (no EL2)	WFI		exec	trap-to-vmm	EXIT->VMM      ESR=0x07e00000 EC=0x01 WFx
EL1 in a plain VM (no EL2)	ID_AA64PFR1_EL1	S3_0_C0_C4_1	read	native	NATIVE         value=0x0000000202000001
EL1 in a plain VM (no EL2)	SCTLR_EL1	S3_0_C1_C0_0	read	native	NATIVE         value=0x00000c0030d01985
EL1 in a plain VM (no EL2)	GCR_EL1	S3_0_C1_C0_6	write 0xFFFD	trap-to-vmm	TRAP->VMM      ESR=0x623c0420 EC=0x18 MSR/MRS/SYS trap S3_0_C1_C0_6 write <- x1
EL1 in a plain VM (no EL2)	GCR_EL1	S3_0_C1_C0_6	read-back	trap-to-vmm	TRAP->VMM      ESR=0x623c0441 EC=0x18 MSR/MRS/SYS trap S3_0_C1_C0_6 read -> x2
EL1 in a plain VM (no EL2)	IRG x0, x1, xzr		exec	native	NATIVE         value=0x0000000010020000
EL1 in a plain VM (no EL2)	ADDG x2, x1, #16, #3		exec	native	NATIVE         value=0x0000000010020100
EL1 in a plain VM (no EL2)	STG x2, [x2]		exec	native	NATIVE         (no trap, no guest exception)
EL1 in a plain VM (no EL2)	LDG x3, [x3]		exec	native	NATIVE         value=0x0000000010020010
EL1 in a plain VM (no EL2)	SPRR_CONFIG_EL1	S3_6_C15_C1_0	read	trap-to-vmm	TRAP->VMM      ESR=0x6231bc03 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_0 read -> x0
EL1 in a plain VM (no EL2)	SPRR_CONFIG_EL1	S3_6_C15_C1_0	write(old|bits)	trap-to-vmm	TRAP->VMM      ESR=0x6231bc22 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_0 write <- x1
EL1 in a plain VM (no EL2)	SPRR_CONFIG_EL1	S3_6_C15_C1_0	read-back	trap-to-vmm	TRAP->VMM      ESR=0x6231bc43 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_0 read -> x2
EL1 in a plain VM (no EL2)	SPRR_CONFIG_EL1	S3_6_C15_C1_0	write(restore)	trap-to-vmm	TRAP->VMM      ESR=0x6231bc02 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_0 write <- x0
EL1 in a plain VM (no EL2)	SPRR_PPERM_EL1	S3_6_C15_C1_6	read	trap-to-vmm	TRAP->VMM      ESR=0x623dbc03 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_6 read -> x0
EL1 in a plain VM (no EL2)	SPRR_PPERM_EL1	S3_6_C15_C1_6	write(same)	trap-to-vmm	TRAP->VMM      ESR=0x623dbc22 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_6 write <- x1
EL1 in a plain VM (no EL2)	SPRR_PPERM_EL1	S3_6_C15_C1_6	read-back	trap-to-vmm	TRAP->VMM      ESR=0x623dbc43 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_6 read -> x2
EL1 in a plain VM (no EL2)	SPRR_PPERM_EL1	S3_6_C15_C1_6	write(restore)	trap-to-vmm	TRAP->VMM      ESR=0x623dbc02 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_6 write <- x0
EL1 in a plain VM (no EL2)	SPRR_UPERM_EL0	S3_6_C15_C1_5	read	trap-to-vmm	TRAP->VMM      ESR=0x623bbc03 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_5 read -> x0
EL1 in a plain VM (no EL2)	SPRR_AMRANGE_EL1	S3_6_C15_C1_3	read	trap-to-vmm	TRAP->VMM      ESR=0x6237bc03 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_3 read -> x0
EL1 in a plain VM (no EL2)	SPRR_PMPRR_EL1	S3_6_C15_C3_1	read	trap-to-vmm	TRAP->VMM      ESR=0x6233bc07 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C3_1 read -> x0
EL1 in a plain VM (no EL2)	SPRR_UMPRR_EL1	S3_6_C15_C3_0	read	trap-to-vmm	TRAP->VMM      ESR=0x6231bc07 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C3_0 read -> x0
EL1 in a plain VM (no EL2)	GXF_CONFIG_EL1	S3_6_C15_C1_2	read	trap-to-vmm	TRAP->VMM      ESR=0x6235bc03 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_2 read -> x0
EL1 in a plain VM (no EL2)	GXF_ENTRY_EL1	S3_6_C15_C8_1	read	trap-to-vmm	TRAP->VMM      ESR=0x6233bc11 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C8_1 read -> x0
EL1 in a plain VM (no EL2)	GXF_PABENTRY_EL1	S3_6_C15_C8_2	read	trap-to-vmm	TRAP->VMM      ESR=0x6235bc11 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C8_2 read -> x0
EL1 in a plain VM (no EL2)	CURRENTG	S3_6_C15_C8_0	read	trap-to-vmm	TRAP->VMM      ESR=0x6231bc11 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C8_0 read -> x0
EL1 in a plain VM (no EL2)	ASPSR_GL1	S3_6_C15_C10_4	read	trap-to-vmm	TRAP->VMM      ESR=0x6239bc15 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C10_4 read -> x0
EL1 in a plain VM (no EL2)	SP_GL1	S3_6_C15_C10_0	read	trap-to-vmm	TRAP->VMM      ESR=0x6231bc15 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C10_0 read -> x0
EL1 in a plain VM (no EL2)	ESR_GL1	S3_6_C15_C10_5	read	trap-to-vmm	TRAP->VMM      ESR=0x623bbc15 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C10_5 read -> x0
EL1 in a plain VM (no EL2)	ELR_GL1	S3_6_C15_C10_6	read	trap-to-vmm	TRAP->VMM      ESR=0x623dbc15 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C10_6 read -> x0
EL1 in a plain VM (no EL2)	VBAR_GL1	S3_6_C15_C10_2	read	trap-to-vmm	TRAP->VMM      ESR=0x6235bc15 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C10_2 read -> x0
